,REGIAO,ESPÉCIE,FASE,ADITIVO,AREA,ABA_ESP,ABB_ESP,ABC_ESP,ABD_ESP,ABE_ESP,ABF_ESP,ABG_ESP,ABH_ESP,ABI_ESP,ABL_ESP,ABM_ESP
1,ASSIS,PS321832847,>5d,B,14.08,93.4230769230769,23.96,31.73,21.7382,181.36,28.23,31.25,25.2,132.243946949301,21.79063214198733,12.75
3,MINAS GERAIS,PS321832847,5d,I,21.36,78.2606837606838,27.3397,27.55,22.1641901068376,632.2,31.284342,34.460182,24.0,164.811414188499,22.125388790567,12.696
6,ARACATUBA,SCS14,4d,D,117.35,72.8562885619364,27.0159,25.02,21.13811943417181,6423.21,30.05,32.71,22.6,161.586712307002,21.10329212918629,
7,PARANÁ,SCS14,2d,E,23.22,108.9090909090909,28.0689,26.51,27.5722249090909,1099.32,31.83,33.57,25.0,170.385211714,27.3489668806476,12.487801
9,ARACATUBA,SCS14,1,D,23.52,59.1970486111111,28.6306,25.16,19.84915236631944,555.71,32.04,33.17,22.0,175.171690064709,19.70122218794121,
10,ARACATUBA,SCS14,1,C,110.38,83.8893880870096,26.6895,25.06,22.5601916630413,7084.478,29.67,32.23999999999999,22.1,158.401286224177,22.5246988818072,
11,PARANÁ,SCS14,4d,B,16.0,69.64099999999999,24.1023,24.99,18.975886743,242.564,26.54,28.96,25.0,133.898892413608,19.02637405761276,12.700461
15,S. J. RIO PRETO,SCS14,>5d,I,48.09,81.4646716541978,26.4,25.61,22.0029127182045,2518.98,29.49,32.707201,25.161669,156.299259240214,22.0237006630655,12.61
19,S. J. RIO PRETO,SCS14,2d,C,257.08,117.221764321854,27.1,23.9,27.8884864126,25799.75,29.8,32.65,26.41,162.749311605027,27.8621085373859,12.58
35,PARANÁ,SCS14,5d,I,43.44,65.88813613231551,26.6891,26.92,19.91568220461196,1706.243,30.26,32.36,26.0,157.636683608582,19.84808943215825,12.564633
36,PARANÁ,SCS14,3d,C,20.54,58.3853629976581,26.3204,25.37,18.64256952271663,408.131,29.32,31.48,23.0,154.401982869429,18.60536766698474,12.591387
37,SÃO CARLOS,SCS14,4d,C,38.48,69.7456570996979,28.333,27.02,21.43159817409366,1541.105,32.34,34.18,23.25,172.953938357793,21.29439093325505,12.5
38,MATO G. DO SUL,SCS14,1/½,C,22.300616,110.6212863386034,27.18,25.77,26.9707112662,1027.86,30.49,32.73,,162.577075398303,26.8501048688855,12.47
39,PIRACICABA,SCS14,5d,I,119.07,68.142467544597,27.17428,27.585667,20.51921522412627,6023.174,31.088093,34.03643599999999,25.008289,163.025191578077,20.47892691658873,12.6698342
40,PIRACICABA,SCS14,5d,B,19.94,95.2947103274559,25.89,28.62,23.5696352644836,673.36,29.8,33.27,25.0,151.284019410399,23.601622050033,12.77
41,PIRACICABA,SCS14,4d,A,40.66,61.7114445219819,27.97,25.15,19.9389176901605,1436.73,31.24,33.41,25.1,170.059363339509,19.85735927183179,12.56
42,ASSIS,SCS14,fr,E,141.43,96.9548404542996,25.25,23.7,23.2565163601947,11007.705,27.57,30.95,24.988262,146.027231567939,23.3862620743857,12.7
43,MATO G. DO SUL,SCS14,>5d,B,23.64,119.206872852234,26.27,24.14,27.2984207560137,1259.888,28.89,30.95,26.227185,153.956002201219,27.2186590785975,12.5
44,PIRACICABA,SCS14,2d,C,26.23,73.988756148981,28.32,24.44,22.1165650035137,894.1,31.42,34.06,28.0,173.966541430842,22.0401044410503,12.62
45,PIRACICABA,SCS14,2d,D,16.4,104.6793181818182,27.5,25.15,26.3652943181818,419.789,30.68,33.59,25.0,166.403352236844,26.3099974102978,12.67
46,ARACATUBA,SCS14,5d,D,113.63,74.25889009150839,26.9457,25.82,21.30502693640657,6339.371,30.22,32.5,23.8,160.397983279416,21.23909373079468,
47,RIB. PRETO,SCS14,5d,I,34.5,52.1204444444444,27.257098,25.8784,18.12121552692445,914.71,30.618788,33.25,22.03,163.716765992722,18.08694408130177,12.6357085
48,RIB. PRETO,SCS14,>5d,B,45.12,85.9969806763285,26.517254,24.6512,22.7423296371135,2462.78,29.338448,32.16,22.41,157.118681998172,22.738344307593,12.69105566
49,RIB. PRETO,SCS14,>5d,I,77.68,72.1569732034105,27.302315,25.4056,21.20540953405146,3963.11,30.519098,33.05,22.33,164.099069172823,21.1498196284932,12.62339884
50,GOIAS,SCS14,2d,C,391.07,105.9958213522568,26.64,25.83,25.7609882459704,35642.996,29.8539,33.43531,23.69,158.890659615871,25.8071081995686,12.78691345
51,MINAS GERAIS,SCS14,>5d,I,71.9,62.5338898163606,28.76,26.78,20.46947993322204,3038.98,32.78,35.69,24.3,178.091585671824,20.39325388976458,12.63
52,MATO G. DO SUL,SCS14,4d,B,112.36,91.9992028696692,25.27,24.61,22.6158942208051,8040.72,27.84,30.66,25.11,145.403104320283,22.672142005962,12.61
53,S. J. RIO PRETO,SCS14,3d,I,190.44,88.5762721362923,27.03,24.59,23.5094137020847,13676.27,29.93,32.59,25.07,161.77961232149,23.4695643535988,12.55
54,S. J. RIO PRETO,SCS14,1/½,C,29.94,99.5027870680045,26.88,26.39,25.0204147157191,1581.8,30.32,32.97,29.96,160.106715816508,24.9597504174333,12.52
55,S. J. RIO PRETO,SCS14,4d,I,238.08783,98.469360159722,27.6,25.02,25.4892201849166,19561.67,30.75,33.221498,25.7039795,166.899786676099,25.3940854427597,12.51
56,S. J. RIO PRETO,SCS14,4d,I,15.5,80.5685714285714,27.39,24.16,22.5527031428571,251.99,30.23,33.02,25.24,165.378536027803,22.5169471032321,12.56
57,RIB. PRETO,SCS14,4d,D,97.8,98.7595571095571,27.9866,24.97,25.8699033568765,7455.97,31.2,33.58,23.1,170.466075916356,25.7484465633925,
58,S. J. RIO PRETO,SCS14,5d,C,288.63,86.4043668437986,25.75,24.99,22.2306004410223,20594.48,28.52,31.83,24.2,150.401836314991,22.297701001036,12.78
59,S. J. RIO PRETO,SCS14,5d,D,15.21,59.5934579439252,26.9,26.63,19.09142523364486,164.775,30.43,34.26000000000001,28.0,161.438393823963,19.11228991166851,12.8
60,S. J. RIO PRETO,SCS14,4d,E,34.47,84.6252781486426,27.1,27.15,22.966417000445,1643.89,30.85,33.87,23.9,162.455916899587,22.9269028139415,12.68
61,GOIAS,SCS14,2d,D,58.73,73.6295741493687,27.99,24.47,21.85456890648406,2891.95,31.04,33.93,26.9,171.104831030885,21.80556298154069,12.66
62,ASSIS,SCS14,5d,B,197.79,84.4952903816137,26.3,25.57,22.3668265245708,13480.9,29.36,31.64,23.5,154.324426522529,22.3178506291473,12.61
63,GOIAS,SCS14,3d,C,232.45,102.8584259469267,26.14,25.81,24.8473814288954,20041.74,29.23,33.53,,154.91741893936,24.9852517252278,12.9
64,MINAS GERAIS,SCS14,2d,C,76.48934,117.459103783664,26.716666,25.896667,27.5200640704352,6812.988,29.96,32.7,22.833333,158.729703283167,27.4739830066858,12.6766667
65,MATO G. DO SUL,SCS14,1/½,I,603.81,133.01000321049,27.18,24.92,30.3693184873524,71626.93,30.22,32.75,29.5,163.005608197616,30.2731891327955,12.63
66,SÃO CARLOS,SCS14,3d,I,215.33224,92.1463653771778,25.68,24.12,22.9640227835979,16308.34,28.19,31.208874,25.25813,149.559996757379,23.0249337614003,12.63
67,SÃO CARLOS,SCS14,2d,I,88.62917,70.17314737977719,25.82,24.39,20.03952896788521,4469.76,28.43,31.310669,24.0596,150.670471311066,20.06689776480181,12.61
68,ARACATUBA,SCS14,3d,C,117.66,63.7245883021011,26.66,26.27,19.58282464508802,5477.22,30.02,32.27,23.7,157.60542036384,19.53138042287397,12.59
70,S. J. RIO PRETO,SCS14,5d,I,35.79,74.032324506095,26.583968,25.143372,21.04677435562505,1487.749,29.567873,33.078522,,158.408690063083,21.08207137250547,12.7834906
71,ARACATUBA,SCS14,1/½,I,45.18,106.0060277275467,27.14,25.14,26.2325125979506,3131.12,30.24,32.63,,162.443565344887,26.1426019752424,12.61
73,PARANÁ,SCS14,3d,B,55.53,54.7278658396508,25.95947,25.575199,17.9645836135263,1871.944,28.944477,31.471146,26.94023,151.397739162067,17.95616789726744,12.6560438
74,MINAS GERAIS,SCS14,5d,I,67.3,96.5895117540687,26.65,25.51,24.3923634719711,4689.8,29.76,33.12,23.2,158.813444816429,24.4188776159546,12.76
75,PARANÁ,SCS14,BIS,E,42.31,132.948597822501,25.967718,25.936357,28.8937590688011,3677.952,29.067192,31.53545,33.765156,151.357991981812,28.8551537255595,12.6445651
